                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 0.7943,                 3.1123,                 1.2894,                0.54738,                0.13329,                0.16179,                0.11724,                 1.1705,                 4.1209,                 1.6162,             5.3163e-05,             5.3163e-05,             5.3163e-05
                     70,                0.79093,                 3.0036,                 1.2719,                0.54155,                0.12964,                0.15829,                  0.112,                 1.1655,                 4.1101,                 1.6119,             5.3106e-05,             5.3106e-05,             5.3106e-05
                     71,                0.81415,                 3.1105,                 1.3095,                0.52755,                0.13675,                0.16648,                0.11605,                 1.1707,                  4.098,                 1.6186,              5.305e-05,              5.305e-05,              5.305e-05
                     72,                0.84222,                 3.0392,                 1.3218,                0.51503,                0.14253,                0.16852,                0.11779,                 1.1725,                 4.0835,                 1.6221,             5.2993e-05,             5.2993e-05,             5.2993e-05
                     73,                 0.7897,                  2.967,                 1.2773,                0.50613,                0.14778,                0.17392,                0.12151,                 1.1609,                 4.0792,                  1.613,             5.2937e-05,             5.2937e-05,             5.2937e-05
                     74,                0.79649,                 2.9812,                 1.2746,                0.50773,                0.14144,                0.18102,                0.12937,                 1.1645,                 4.0637,                 1.6259,             5.2881e-05,             5.2881e-05,             5.2881e-05
                     75,                0.82288,                 2.9851,                 1.2958,                0.52586,                0.14885,                0.18503,                0.13207,                 1.1627,                 4.0587,                 1.6282,             5.2824e-05,             5.2824e-05,             5.2824e-05
                     76,                0.81194,                 2.9741,                 1.2869,                0.53611,                 0.1524,                0.17896,                0.13204,                 1.1635,                 4.0281,                 1.6285,             5.2768e-05,             5.2768e-05,             5.2768e-05
                     77,                0.79331,                 2.8565,                 1.3005,                0.53677,                0.15918,                0.18186,                0.13492,                 1.1662,                 4.0144,                 1.6266,             5.2711e-05,             5.2711e-05,             5.2711e-05
                     78,                0.78584,                 2.8169,                 1.2944,                0.56213,                0.15458,                0.18516,                   0.14,                 1.1692,                 3.9832,                 1.6245,             5.2655e-05,             5.2655e-05,             5.2655e-05
                     79,                0.76729,                 2.8565,                 1.2756,                0.59779,                0.14401,                0.18544,                0.13995,                 1.1721,                   3.97,                 1.6265,             5.2598e-05,             5.2598e-05,             5.2598e-05
                     80,                0.77463,                 2.8241,                 1.2728,                0.54183,                0.15176,                0.18963,                0.13659,                 1.1669,                 3.9452,                 1.6219,             5.2542e-05,             5.2542e-05,             5.2542e-05
                     81,                0.78092,                 2.8271,                 1.2899,                0.54232,                0.14991,                0.18829,                0.13495,                 1.1731,                 3.9381,                 1.6269,             5.2486e-05,             5.2486e-05,             5.2486e-05
                     82,                0.84574,                 2.8069,                 1.3317,                0.59122,                0.14046,                0.18533,                0.13203,                 1.1695,                 3.9294,                 1.6303,             5.2429e-05,             5.2429e-05,             5.2429e-05
                     83,                0.84441,                 2.7916,                 1.3189,                 0.5483,                0.15228,                0.18429,                0.13159,                 1.1658,                 3.9181,                 1.6279,             5.2373e-05,             5.2373e-05,             5.2373e-05
                     84,                0.79742,                 2.7044,                  1.312,                0.53568,                0.15901,                0.21034,                0.14549,                 1.1617,                 3.9129,                 1.6266,             5.2316e-05,             5.2316e-05,             5.2316e-05
                     85,                0.77234,                 2.7095,                 1.2653,                0.52873,                0.16516,                0.21277,                0.14543,                 1.1643,                 3.9075,                 1.6342,              5.226e-05,              5.226e-05,              5.226e-05
                     86,                 0.7768,                  2.633,                 1.2526,                0.52157,                0.18898,                0.21774,                0.14963,                 1.1768,                 3.8997,                 1.6528,             5.2203e-05,             5.2203e-05,             5.2203e-05
                     87,                0.80005,                 2.7387,                 1.2882,                0.52152,                0.18831,                0.22463,                 0.1568,                 1.1786,                 3.8812,                 1.6538,             5.2147e-05,             5.2147e-05,             5.2147e-05
                     88,                0.78786,                 2.6096,                 1.2853,                0.49735,                0.18048,                0.22803,                 0.1564,                 1.1689,                 3.8582,                 1.6482,             5.2091e-05,             5.2091e-05,             5.2091e-05
                     89,                0.76307,                 2.7615,                 1.2731,                0.46719,                0.18393,                 0.2334,                0.15924,                 1.1726,                 3.8511,                 1.6559,             5.2034e-05,             5.2034e-05,             5.2034e-05
                     90,                0.78478,                 2.6204,                 1.2822,                0.52723,                0.16993,                0.24738,                0.17455,                 1.1744,                 3.8371,                 1.6683,             5.1978e-05,             5.1978e-05,             5.1978e-05
                     91,                0.79279,                 2.5642,                 1.2748,                0.54395,                0.16208,                0.24819,                0.17599,                 1.1667,                 3.8324,                 1.6603,             5.1921e-05,             5.1921e-05,             5.1921e-05
                     92,                  0.844,                 2.5972,                 1.3225,                0.60328,                0.16059,                0.23615,                0.17627,                 1.1563,                 3.8531,                 1.6482,             5.1865e-05,             5.1865e-05,             5.1865e-05
                     93,                0.83359,                 2.5628,                 1.3268,                 0.5642,                0.17393,                0.23808,                0.17789,                 1.1589,                   3.86,                 1.6502,             5.1808e-05,             5.1808e-05,             5.1808e-05
                     94,                0.78249,                 2.5078,                 1.2991,                0.56575,                0.16601,                0.23018,                0.16997,                 1.1563,                  3.866,                 1.6535,             5.1752e-05,             5.1752e-05,             5.1752e-05
                     95,                0.76512,                  2.518,                 1.2501,                0.58825,                 0.1631,                0.22889,                0.16582,                 1.1557,                 3.8689,                 1.6575,             5.1696e-05,             5.1696e-05,             5.1696e-05
                     96,                0.77335,                 2.5454,                 1.2857,                0.60666,                0.16297,                0.22863,                0.16314,                 1.1787,                  3.874,                 1.6755,             5.1639e-05,             5.1639e-05,             5.1639e-05
                     97,                0.83168,                 2.5349,                  1.348,                0.61232,                0.16513,                0.22932,                0.16077,                 1.1878,                 3.8824,                 1.6833,             5.1583e-05,             5.1583e-05,             5.1583e-05
                     98,                0.80249,                 2.3734,                 1.2879,                0.59252,                0.16046,                0.22698,                0.15437,                 1.1942,                 3.8867,                 1.6971,             5.1526e-05,             5.1526e-05,             5.1526e-05
                     99,                0.76207,                 2.5674,                 1.2829,                0.56973,                 0.1607,                 0.2284,                0.15791,                 1.1945,                 3.8846,                    1.7,              5.147e-05,              5.147e-05,              5.147e-05
                    100,                0.76049,                 2.3621,                 1.2686,                0.55664,                0.14557,                0.21676,                0.14869,                  1.206,                 3.8567,                 1.7127,             5.1413e-05,             5.1413e-05,             5.1413e-05
                    101,                0.75838,                  2.312,                 1.2397,                 0.5514,                0.13041,                0.22237,                0.15516,                 1.1972,                 3.8403,                 1.7004,             5.1357e-05,             5.1357e-05,             5.1357e-05
                    102,                0.72809,                   2.35,                 1.2516,                 0.5587,                0.12003,                0.23427,                0.16951,                 1.2004,                 3.7626,                 1.6965,             5.1301e-05,             5.1301e-05,             5.1301e-05
                    103,                0.77413,                 2.3108,                 1.2411,                0.47628,                0.18085,                0.23418,                0.17274,                 1.1912,                 3.7311,                 1.6941,             5.1244e-05,             5.1244e-05,             5.1244e-05
                    104,                0.75749,                  2.311,                 1.2408,                0.53057,                0.16536,                 0.2414,                0.17924,                 1.1893,                 3.7101,                 1.6844,             5.1188e-05,             5.1188e-05,             5.1188e-05
                    105,                0.75404,                 2.3487,                 1.2666,                0.48387,                0.17807,                0.24102,                0.17801,                 1.1884,                 3.6975,                 1.6806,             5.1131e-05,             5.1131e-05,             5.1131e-05
                    106,                 0.7393,                 2.2841,                  1.229,                0.48315,                0.18663,                0.25423,                0.18236,                 1.1878,                  3.689,                 1.6798,             5.1075e-05,             5.1075e-05,             5.1075e-05
                    107,                0.72882,                 2.2533,                 1.2284,                0.48284,                0.18308,                0.25373,                0.18312,                  1.197,                  3.713,                 1.6871,             5.1018e-05,             5.1018e-05,             5.1018e-05
                    108,                0.76593,                 2.2897,                 1.2608,                0.49024,                0.17703,                0.25874,                0.18494,                 1.1944,                 3.7557,                 1.6885,             5.0962e-05,             5.0962e-05,             5.0962e-05
                    109,                0.78789,                 2.2817,                 1.2619,                0.49196,                0.17618,                0.25775,                0.18169,                 1.2141,                 3.7852,                 1.7083,             5.0906e-05,             5.0906e-05,             5.0906e-05
                    110,                0.75229,                   2.27,                 1.2677,                0.45623,                0.18081,                0.24904,                0.18316,                 1.2175,                 3.7844,                 1.7102,             5.0849e-05,             5.0849e-05,             5.0849e-05
                    111,                0.71006,                 2.1751,                 1.2375,                0.46178,                0.17605,                0.25164,                0.18609,                 1.2201,                 3.7808,                 1.7158,             5.0793e-05,             5.0793e-05,             5.0793e-05
                    112,                0.74133,                 2.1897,                 1.2383,                0.44827,                0.22316,                0.25399,                0.18566,                 1.2226,                 3.7636,                 1.7134,             5.0736e-05,             5.0736e-05,             5.0736e-05
                    113,                0.77306,                  2.204,                 1.2579,                0.44612,                0.21889,                0.25711,                0.19227,                 1.2145,                 3.7535,                 1.7123,              5.068e-05,              5.068e-05,              5.068e-05
                    114,                 0.7376,                 2.2144,                 1.2125,                0.50279,                0.24354,                0.26616,                0.19748,                 1.2158,                 3.7478,                 1.7129,             5.0623e-05,             5.0623e-05,             5.0623e-05
                    115,                0.73574,                 2.0786,                 1.2519,                0.50931,                 0.2534,                 0.2766,                0.19747,                 1.2167,                 3.7336,                  1.707,             5.0567e-05,             5.0567e-05,             5.0567e-05
                    116,                0.75916,                 2.1572,                 1.2729,                0.47197,                0.23849,                0.27512,                0.19261,                 1.2168,                 3.7293,                 1.6888,             5.0511e-05,             5.0511e-05,             5.0511e-05
                    117,                0.76633,                 2.1977,                  1.282,                0.47498,                0.23845,                0.27613,                0.19334,                  1.217,                   3.73,                 1.6886,             5.0454e-05,             5.0454e-05,             5.0454e-05
                    118,                0.74795,                 2.0303,                  1.262,                0.45805,                0.23823,                0.27168,                0.18819,                 1.2143,                 3.7478,                 1.6844,             5.0398e-05,             5.0398e-05,             5.0398e-05
                    119,                0.74108,                 2.0463,                 1.2452,                0.46245,                0.23034,                0.27991,                0.19694,                 1.2161,                 3.7568,                 1.6894,             5.0341e-05,             5.0341e-05,             5.0341e-05
                    120,                0.71088,                 2.0589,                 1.2028,                0.47224,                0.22446,                0.28591,                0.20164,                 1.2253,                 3.7607,                 1.7037,             5.0285e-05,             5.0285e-05,             5.0285e-05
                    121,                0.72306,                 2.0946,                 1.2371,                0.47836,                0.23235,                0.28684,                0.19959,                 1.2338,                 3.7502,                 1.7134,             5.0228e-05,             5.0228e-05,             5.0228e-05
                    122,                0.74623,                 2.0697,                 1.2242,                0.48359,                0.25497,                0.29101,                0.20253,                 1.2307,                 3.6938,                 1.7144,             5.0172e-05,             5.0172e-05,             5.0172e-05
